first_name,last_name,email,date_of_birth,gender,phone,address,emergency_contact,emergency_relation,class_code,section,roll_number,remarks,father_name,father_phone,father_email,father_profession,father_cin,mother_name,mother_phone,mother_email,mother_profession,mother_cin,guardian_name,guardian_phone,guardian_email,guardian_profession,guardian_cin,guardian_relation
Andry,Rakotomalala,andry.rakotomalala@gmail.com,2010-02-11,male,+261 34 30 110 20,Lot 11 Antananarivo,Parent Andry,Père,63A,Générale,1010,,Jean Rakotomalala,+261 34 40 210 30,pere10@gmail.com,Commerçant,100000000010,Marie Rakotomalala,+261 33 50 310 40,mere10@gmail.com,Enseignante,200000000010,Tuteur Andry,+261 32 60 410 50,tuteur10@gmail.com,Employé,300000000010,Oncle
Tiana,Razafindrabe,tiana.razafindrabe@gmail.com,2011-03-12,female,+261 34 31 111 21,Lot 12 Antananarivo,Parent Tiana,Père,64A,Générale,1011,,Jean Razafindrabe,+261 34 41 211 31,pere11@gmail.com,Commerçant,100000000011,Marie Razafindrabe,+261 33 51 311 41,mere11@gmail.com,Enseignante,200000000011,Tuteur Tiana,+261 32 61 411 51,tuteur11@gmail.com,Employé,300000000011,Oncle
Mamy,Razafindrabe,mamy.razafindrabe@gmail.com,2012-04-13,male,+261 34 32 112 22,Lot 13 Antananarivo,Parent Mamy,Père,61A,Générale,1012,,Jean Razafindrabe,+261 34 42 212 32,pere12@gmail.com,Commerçant,100000000012,Marie Razafindrabe,+261 33 52 312 42,mere12@gmail.com,Enseignante,200000000012,Tuteur Mamy,+261 32 62 412 52,tuteur12@gmail.com,Employé,300000000012,Oncle
Kanto,Razanajatovo,kanto.razanajatovo@gmail.com,2013-05-14,female,+261 34 33 113 23,Lot 14 Antananarivo,Parent Kanto,Père,62A,Générale,1013,,Jean Razanajatovo,+261 34 43 213 33,pere13@gmail.com,Commerçant,100000000013,Marie Razanajatovo,+261 33 53 313 43,mere13@gmail.com,Enseignante,200000000013,Tuteur Kanto,+261 32 63 413 53,tuteur13@gmail.com,Employé,300000000013,Oncle
Zo,Rabearisoa,zo.rabearisoa@gmail.com,2014-06-15,male,+261 34 34 114 24,Lot 15 Antananarivo,Parent Zo,Père,63A,Générale,1014,,Jean Rabearisoa,+261 34 44 214 34,pere14@gmail.com,Commerçant,100000000014,Marie Rabearisoa,+261 33 54 314 44,mere14@gmail.com,Enseignante,200000000014,Tuteur Zo,+261 32 64 414 54,tuteur14@gmail.com,Employé,300000000014,Oncle
Fitia,Randria,fitia.randria@gmail.com,2010-07-16,female,+261 34 35 115 25,Lot 16 Antananarivo,Parent Fitia,Père,64A,Générale,1015,,Jean Randria,+261 34 45 215 35,pere15@gmail.com,Commerçant,100000000015,Marie Randria,+261 33 55 315 45,mere15@gmail.com,Enseignante,200000000015,Tuteur Fitia,+261 32 65 415 55,tuteur15@gmail.com,Employé,300000000015,Oncle
Ny Avo,Ratsimba,nyavo.ratsimba@gmail.com,2011-08-17,male,+261 34 36 116 26,Lot 17 Antananarivo,Parent Ny Avo,Père,61A,Générale,1016,,Jean Ratsimba,+261 34 46 216 36,pere16@gmail.com,Commerçant,100000000016,Marie Ratsimba,+261 33 56 316 46,mere16@gmail.com,Enseignante,200000000016,Tuteur Ny Avo,+261 32 66 416 56,tuteur16@gmail.com,Employé,300000000016,Oncle
Santatra,Rasoa,santatra.rasoa@gmail.com,2012-09-18,female,+261 34 37 117 27,Lot 18 Antananarivo,Parent Santatra,Père,62A,Générale,1017,,Jean Rasoa,+261 34 47 217 37,pere17@gmail.com,Commerçant,100000000017,Marie Rasoa,+261 33 57 317 47,mere17@gmail.com,Enseignante,200000000017,Tuteur Santatra,+261 32 67 417 57,tuteur17@gmail.com,Employé,300000000017,Oncle
Miary,Randria,miary.randria@gmail.com,2013-01-10,male,+261 34 38 118 28,Lot 19 Antananarivo,Parent Miary,Père,63A,Générale,1018,,Jean Randria,+261 34 48 218 38,pere18@gmail.com,Commerçant,100000000018,Marie Randria,+261 33 58 318 48,mere18@gmail.com,Enseignante,200000000018,Tuteur Miary,+261 32 68 418 58,tuteur18@gmail.com,Employé,300000000018,Oncle
Ravo,Rasoa,ravo.rasoa@gmail.com,2014-02-11,female,+261 34 39 119 29,Lot 20 Antananarivo,Parent Ravo,Père,64A,Générale,1019,,Jean Rasoa,+261 34 49 219 39,pere19@gmail.com,Commerçant,100000000019,Marie Rasoa,+261 33 59 319 49,mere19@gmail.com,Enseignante,200000000019,Tuteur Ravo,+261 32 69 419 59,tuteur19@gmail.com,Employé,300000000019,Oncle
